"filename", "language", "vue", "TypeScript", "PostCSS", "XML", "JSON", "JavaScript", "JSON with Comments", "Markdown", "HTML", "comment", "blank", "total"
"d:\projectCode\blog\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -11, 0, 0, -8, -19
"d:\projectCode\blog\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, -13, 0, -1, -14
"d:\projectCode\blog\package.json", "JSON", 0, 0, 0, 0, -31, 0, 0, 0, 0, 0, -1, -32
"d:\projectCode\blog\postcss.config.cjs", "JavaScript", 0, 0, 0, 0, 0, -6, 0, 0, 0, 0, -1, -7
"d:\projectCode\blog\public\blogger.svg", "XML", 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, -1
"d:\projectCode\blog\src\App.vue", "vue", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"d:\projectCode\blog\src\api\article.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"d:\projectCode\blog\src\api\friend.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"d:\projectCode\blog\src\api\guestbook.ts", "TypeScript", 0, -4, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4
"d:\projectCode\blog\src\api\label.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"d:\projectCode\blog\src\api\post.ts", "TypeScript", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 6, 25
"d:\projectCode\blog\src\api\search.ts", "TypeScript", 0, -3, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3
"d:\projectCode\blog\src\api\thread.ts", "TypeScript", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 6, 30
"d:\projectCode\blog\src\api\user.ts", "TypeScript", 0, -5, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5
"d:\projectCode\blog\src\assets\favorite.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\projectCode\blog\src\assets\favorites-fill.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\projectCode\blog\src\assets\favorites.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\projectCode\blog\src\assets\invisible.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\projectCode\blog\src\assets\like.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\projectCode\blog\src\assets\like_fill.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\projectCode\blog\src\assets\normail.css", "PostCSS", 0, 0, 146, 0, 0, 0, 0, 0, 0, 0, 34, 180
"d:\projectCode\blog\src\assets\tag.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\projectCode\blog\src\components\Article\article.vue", "vue", 488, 0, 0, 0, 0, 0, 0, 0, 0, 24, 14, 526
"d:\projectCode\blog\src\components\Article\articleList.vue", "vue", 180, 0, 0, 0, 0, 0, 0, 0, 0, 117, 16, 313
"d:\projectCode\blog\src\components\Article\articleModify.vue", "vue", 181, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 189
"d:\projectCode\blog\src\components\Board\board.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"d:\projectCode\blog\src\components\Editor\editor.vue", "vue", 256, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11, 268
"d:\projectCode\blog\src\components\Favorite\favorite.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"d:\projectCode\blog\src\components\Friend\friend.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"d:\projectCode\blog\src\components\Header\header.vue", "vue", 34, 0, 0, 0, 0, 0, 0, 0, 0, 42, 3, 79
"d:\projectCode\blog\src\components\History\history.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"d:\projectCode\blog\src\components\Homepage\articles.vue", "vue", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 45
"d:\projectCode\blog\src\components\Homepage\homepage.vue", "vue", -5, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -6
"d:\projectCode\blog\src\components\Homepage\loading.vue", "vue", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\projectCode\blog\src\components\Homepage\posts.vue", "vue", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 49
"d:\projectCode\blog\src\components\Homepage\users.vue", "vue", 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 52
"d:\projectCode\blog\src\components\Post\post.vue", "vue", 739, 0, 0, 0, 0, 0, 0, 0, 0, 12, 33, 784
"d:\projectCode\blog\src\components\Post\postList.vue", "vue", 169, 0, 0, 0, 0, 0, 0, 0, 0, 111, 14, 294
"d:\projectCode\blog\src\components\Post\postModify.vue", "vue", 96, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 105
"d:\projectCode\blog\src\components\Search\search.vue", "vue", 213, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 220
"d:\projectCode\blog\src\components\Thread\thread.vue", "vue", 188, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13, 203
"d:\projectCode\blog\src\components\Thread\threadList.vue", "vue", 337, 0, 0, 0, 0, 0, 0, 0, 0, 5, 14, 356
"d:\projectCode\blog\src\components\Thread\threadModify.vue", "vue", 101, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 111
"d:\projectCode\blog\src\components\User\Board\board.vue", "vue", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 39
"d:\projectCode\blog\src\components\User\Board\myMessage.vue", "vue", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 60
"d:\projectCode\blog\src\components\User\Fav\articles.vue", "vue", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 42
"d:\projectCode\blog\src\components\User\Fav\fav.vue", "vue", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 56
"d:\projectCode\blog\src\components\User\Fav\post.vue", "vue", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 40
"d:\projectCode\blog\src\components\User\Fav\threads.vue", "vue", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 43
"d:\projectCode\blog\src\components\User\Friend\circle.vue", "vue", 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 69
"d:\projectCode\blog\src\components\User\Friend\friend.vue", "vue", 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 71
"d:\projectCode\blog\src\components\User\Friend\friendApply.vue", "vue", 112, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 116
"d:\projectCode\blog\src\components\User\Friend\friendList.vue", "vue", 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 100
"d:\projectCode\blog\src\components\User\Friend\myApply.vue", "vue", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 47
"d:\projectCode\blog\src\components\User\History\history.vue", "vue", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\projectCode\blog\src\components\User\info.vue", "vue", -74, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -77
"d:\projectCode\blog\src\components\User\login.vue", "vue", -79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, -78
"d:\projectCode\blog\src\components\User\modifyInfo.vue", "vue", 121, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 129
"d:\projectCode\blog\src\components\User\overview.vue", "vue", 135, 0, 0, 0, 0, 0, 0, 0, 0, 7, 6, 148
"d:\projectCode\blog\src\components\User\personalInfo.vue", "vue", 96, 0, 0, 0, 0, 0, 0, 0, 0, 6, 3, 105
"d:\projectCode\blog\src\components\User\user.vue", "vue", -11, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -12
"d:\projectCode\blog\src\components\User\userMsgBoard.vue", "vue", 125, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 133
"d:\projectCode\blog\src\components\User\userPage.vue", "vue", 277, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14, 294
"d:\projectCode\blog\src\components\alertCard.vue", "vue", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 38
"d:\projectCode\blog\src\components\articleCard.vue", "vue", 106, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 115
"d:\projectCode\blog\src\components\labelCard.vue", "vue", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 23
"d:\projectCode\blog\src\components\levelCard.vue", "vue", 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 117
"d:\projectCode\blog\src\components\messageCard.vue", "vue", 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 91
"d:\projectCode\blog\src\components\postCard.vue", "vue", 106, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 115
"d:\projectCode\blog\src\components\threadCard.vue", "vue", 151, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8, 163
"d:\projectCode\blog\src\components\userCard.vue", "vue", 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 80
"d:\projectCode\blog\src\index.css", "PostCSS", 0, 0, 44, 0, 0, 0, 0, 0, 0, 5, 5, 54
"d:\projectCode\blog\src\main.ts", "TypeScript", 0, 36, 0, 0, 0, 0, 0, 0, 0, 3, 3, 42
"d:\projectCode\blog\src\router\index.ts", "TypeScript", 0, -59, 0, 0, 0, 0, 0, 0, 0, 0, -5, -64
"d:\projectCode\blog\src\router\router.ts", "TypeScript", 0, 233, 0, 0, 0, 0, 0, 0, 0, 7, 10, 250
"d:\projectCode\blog\src\shims.d.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"d:\projectCode\blog\src\stores\index.ts", "TypeScript", 0, -52, 0, 0, 0, 0, 0, 0, 0, 0, -5, -57
"d:\projectCode\blog\src\stores\store.ts", "TypeScript", 0, 107, 0, 0, 0, 0, 0, 0, 0, 27, 14, 148
"d:\projectCode\blog\src\views\articlePage.vue", "vue", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"d:\projectCode\blog\src\views\homepage.vue", "vue", 512, 0, 0, 0, 0, 0, 0, 0, 0, 67, 10, 589
"d:\projectCode\blog\src\views\personalPage.vue", "vue", 143, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 150
"d:\projectCode\blog\src\views\postPage.vue", "vue", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"d:\projectCode\blog\src\views\threadPage.vue", "vue", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"d:\projectCode\blog\tailwind.config.cjs", "JavaScript", 0, 0, 0, 0, 0, -12, 0, 0, 0, -1, 0, -13
"d:\projectCode\blog\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, -18, 0, 0, 0, -1, -19
"d:\projectCode\blog\tsconfig.node.json", "JSON", 0, 0, 0, 0, -9, 0, 0, 0, 0, 0, -1, -10
"d:\projectCode\blog\vite.config.ts", "TypeScript", 0, -11, 0, 0, 0, 0, 0, 0, 0, -1, -2, -14
"Total", "-", 5761, 302, 190, 6, -40, -18, -18, -11, -13, 452, 343, 6954